id,name,reaction,lower_bound,upper_bound,compartment,gene_reaction
EX_gln__L_e,L-Glutamine exchange,gln__L_e --> ,,999999.0,{'e'},
EX_glu__D_e,D Glutamate exchange,glu__D_e --> ,,999999.0,{'e'},
EX_alaala_e,D-Alanyl-D-alanine exchange,alaala_e --> ,,999999.0,{'e'},
EX_alltn_e,Allantoin exchange,alltn_e --> ,,999999.0,{'e'},
EX_amp_e,AMP exchange,amp_e --> ,,999999.0,{'e'},
EX_amylase_e,Mature Bacillus subtilis amylase exchange,amylase_e --> ,,999999.0,{'e'},
EX_fum_e,Fumarate exchange,fum_e --> ,,999999.0,{'e'},
EX_antim_e,Antimonite exchange,antim_e --> ,,999999.0,{'e'},
EX_g1p_e,D-Glucose 1-phosphate exchange,g1p_e --> ,,999999.0,{'e'},
EX_glu__L_e,L-Glutamate exchange,glu__L_e --> ,,999999.0,{'e'},
EX_arab__D_e,D Arabinose exchange,arab__D_e --> ,,999999.0,{'e'},
EX_arab__L_e,L-Arabinose exchange,arab__L_e --> ,,999999.0,{'e'},
EX_arbt_e,Arbutin exchange,arbt_e --> ,,999999.0,{'e'},
EX_arg__L_e,L-Arginine exchange,arg__L_e --> ,,999999.0,{'e'},
EX_argp_e,L Arginine phosphate exchange,argp_e --> ,,999999.0,{'e'},
EX_arsenb_e,ARSENOBETAINE exchange,arsenb_e --> ,,999999.0,{'e'},
EX_arsna_e,Arsenate exchange,arsna_e --> ,,999999.0,{'e'},
EX_arsni2_e,Arsenite exchange,arsni2_e --> ,,999999.0,{'e'},
EX_asn__L_e,L-Asparagine exchange,asn__L_e --> ,,999999.0,{'e'},
EX_asp__L_e,L-Aspartate exchange,asp__L_e --> ,,999999.0,{'e'},
EX_bilea_e,Bile acid exchange,bilea_e --> ,,999999.0,{'e'},
EX_btd_RR_e,R R  2 3 Butanediol exchange,btd_RR_e --> ,,999999.0,{'e'},
EX_glx_e,Glyoxylate exchange,glx_e --> ,,999999.0,{'e'},
EX_buts_e,Butanesulfonate exchange,buts_e --> ,,999999.0,{'e'},
EX_ca2_e,Calcium exchange,ca2_e <=> ,-999999.0,999999.0,{'e'},
EX_cbl2_e,Cob II alamin exchange,cbl2_e --> ,,999999.0,{'e'},
EX_pur_e,Puromycin exchange,pur_e --> ,,999999.0,{'e'},
EX_pyr_e,Pyruvate exchange,pyr_e --> ,,999999.0,{'e'},
EX_cd2_e,Cadmium exchange,cd2_e --> ,,999999.0,{'e'},
EX_gly_asn__L_e,Gly asn L exchange,gly_asn__L_e --> ,,999999.0,{'e'},
EX_cellb_e,Cellobiose exchange,cellb_e --> ,,999999.0,{'e'},
EX_cgly_e,Cys-Gly exchange,cgly_e --> ,,999999.0,{'e'},
EX_raffin_e,Raffinose exchange,raffin_e --> ,,999999.0,{'e'},
EX_rib__D_e,D-Ribose exchange,rib__D_e --> ,,999999.0,{'e'},
EX_gly_asp__L_e,Gly asp L exchange,gly_asp__L_e --> ,,999999.0,{'e'},
EX_ribflv_e,Riboflavin exchange,ribflv_e --> ,,999999.0,{'e'},
EX_chitob_e,Chitobiose exchange,chitob_e --> ,,999999.0,{'e'},
EX_gly_e,Glycine exchange,gly_e --> ,,999999.0,{'e'},
EX_chol_e,Choline exchange,chol_e --> ,,999999.0,{'e'},
EX_rmn_e,L-Rhamnose exchange,rmn_e --> ,,999999.0,{'e'},
EX_gly_gln__L_e,Gly Gln exchange,gly_gln__L_e --> ,,999999.0,{'e'},
EX_chols_e,EX chols LPAREN e RPAREN,chols_e --> ,,999999.0,{'e'},
EX_chor_e,Chorismate exchange,chor_e --> ,,999999.0,{'e'},
EX_cit_e,Citrate exchange,cit_e --> ,,999999.0,{'e'},
EX_salcn_e,Salicin exchange,salcn_e --> ,,999999.0,{'e'},
EX_gly_glu__L_e,Gly glu L exchange,gly_glu__L_e --> ,,999999.0,{'e'},
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e --> ,,999999.0,{'e'},
EX_ser__D_e,D-Serine exchange,ser__D_e --> ,,999999.0,{'e'},
EX_citr__L_e,L-Citrulline exchange,citr__L_e --> ,,999999.0,{'e'},
EX_cmp_e,CMP exchange,cmp_e --> ,,999999.0,{'e'},
EX_ser__L_e,L-Serine exchange,ser__L_e --> ,,999999.0,{'e'},
EX_gly_met__L_e,Gly Met exchange,gly_met__L_e --> ,,999999.0,{'e'},
EX_so4_e,Sulfate exchange,so4_e <=> ,-5.0,999999.0,{'e'},
EX_spmd_e,Spermidine exchange,spmd_e --> ,,999999.0,{'e'},
EX_co2_e,CO2 exchange,co2_e <=> ,-999999.0,999999.0,{'e'},
EX_cobalt2_e,Co2+ exchange,cobalt2_e --> ,,999999.0,{'e'},
EX_crn_e,L-Carnitine exchange,crn_e --> ,,999999.0,{'e'},
EX_cro4_e,Chromate exchange,cro4_e --> ,,999999.0,{'e'},
EX_srb__L_e,L Sorbose exchange,srb__L_e --> ,,999999.0,{'e'},
EX_starch_e,Starch exchange,starch_e --> ,,999999.0,{'e'},
EX_subtilisin_e,Mature Bacillus subtilis subtilisin exchange,subtilisin_e --> ,,999999.0,{'e'},
EX_succ_e,Succinate exchange,succ_e --> ,,999999.0,{'e'},
EX_sucr_e,Sucrose exchange,sucr_e --> ,,999999.0,{'e'},
EX_gly_pro__L_e,Gly pro L exchange,gly_pro__L_e --> ,,999999.0,{'e'},
EX_sula_e,Sulfoacetate exchange,sula_e --> ,,999999.0,{'e'},
EX_taur_e,Taurine exchange,taur_e --> ,,999999.0,{'e'},
EX_glyb_e,Glycine betaine exchange,glyb_e --> ,,999999.0,{'e'},
EX_thiog_e,Thioglycolate exchange,thiog_e --> ,,999999.0,{'e'},
EX_glyc3p_e,Glycerol 3-phosphate exchange,glyc3p_e --> ,,999999.0,{'e'},
EX_glyc_e,Glycerol exchange,glyc_e --> ,,999999.0,{'e'},
EX_glyclt_e,Glycolate exchange,glyclt_e --> ,,999999.0,{'e'},
EX_glycogen_e,Glycogen exchange,glycogen_e --> ,,999999.0,{'e'},
EX_gmp_e,GMP exchange,gmp_e --> ,,999999.0,{'e'},
EX_gsn_e,Guanosine exchange,gsn_e --> ,,999999.0,{'e'},
EX_thr__L_e,L-Threonine exchange,thr__L_e --> ,,999999.0,{'e'},
EX_gthox_e,Oxidized glutathione exchange,gthox_e --> ,,999999.0,{'e'},
EX_thym_e,Thymine exchange,thym_e --> ,,999999.0,{'e'},
EX_gthrd_e,Reduced glutathione exchange,gthrd_e --> ,,999999.0,{'e'},
EX_thymd_e,Thymidine exchange,thymd_e --> ,,999999.0,{'e'},
EX_gua_e,Guanine exchange,gua_e --> ,,999999.0,{'e'},
EX_tmp_e,Trimetaphosphate exchange,tmp_e --> ,,999999.0,{'e'},
EX_tre_e,Trehalose exchange,tre_e --> ,,999999.0,{'e'},
EX_trp__L_e,L-Tryptophan exchange,trp__L_e --> ,,999999.0,{'e'},
EX_h2o2_e,Hydrogen peroxide exchange,h2o2_e --> ,,999999.0,{'e'},
EX_tyr__L_e,L-Tyrosine exchange,tyr__L_e --> ,,999999.0,{'e'},
EX_h2o_e,H2O exchange,h2o_e <=> ,-999999.0,999999.0,{'e'},
EX_ump_e,UMP exchange,ump_e --> ,,999999.0,{'e'},
EX_ura_e,Uracil exchange,ura_e --> ,,999999.0,{'e'},
3UMPt6,3  UMP transport in via proton symport,3ump_e + h_e <=> 3ump_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
EX_h_e,H+ exchange,h_e <=> ,-999999.0,999999.0,{'e'},
5MTRt2,5 Methylthio D ribose transport inout via proton symport,5mtr_e + h_e <=> 5mtr_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
6PGCt6,6 Phospho D gluconate transport inout via proton symport,6pgc_e + h_e <=> 6pgc_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
EX_urate_e,Urate exchange,urate_e --> ,,999999.0,{'e'},
2HXMPt6,2  hydroxymethyl phenol transport inout via proton symport,2hxmp_e + h_e <=> 2hxmp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
EX_hexs_e,Hexanesulfonate exchange,hexs_e --> ,,999999.0,{'e'},
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,2pglyc_e + h_e <=> 2pglyc_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
2PGt6,D Glycerate 2 phosphate transport inout via proton symport,2pg_e + h_e <=> 2pg_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
3AMPt6,3  AMP transport inout via proton symport,3amp_e + h_e <=> 3amp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
3CMPt6,3  CMP transport in via proton symport,3cmp_e + h_e <=> 3cmp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
EX_urea_e,Urea exchange,urea_e --> ,,999999.0,{'e'},
EX_uri_e,Uridine exchange,uri_e --> ,,999999.0,{'e'},
EX_val__L_e,L-Valine exchange,val__L_e --> ,,999999.0,{'e'},
EX_xan_e,Xanthine exchange,xan_e --> ,,999999.0,{'e'},
EX_xtsn_e,Xanthosine exchange,xtsn_e --> ,,999999.0,{'e'},
EX_xyl__D_e,D-Xylose exchange,xyl__D_e --> ,,999999.0,{'e'},
EX_zn2_e,Zinc exchange,zn2_e --> ,,999999.0,{'e'},
3GMPt6,Guanosine 3  phsophate transport inout via proton symport,3gmp_e + h_e <=> 3gmp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
3PGt6,3 Phospho D glycerate transport inout via proton symport,3pg_e + h_e <=> 3pg_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
ABTt_1,L arabinitol transport via passive diffusion,abt__L_e <=> abt__L_c,-999999.0,999999.0,"{'e', 'c'}",
F6Pt6_2,Fructose 6 phosphate transport via phosphate antiport,f6p_e + 2.0 pi_c --> f6p_c + 2.0 pi_e,,999999.0,"{'e', 'c'}",
EX_hg2_e,Hg2+ exchange,hg2_e --> ,,999999.0,{'e'},
EX_his__L_e,L-Histidine exchange,his__L_e --> ,,999999.0,{'e'},
EX_hqn_e,Hydroquinone exchange,hqn_e --> ,,999999.0,{'e'},
EX_hxan_e,Hypoxanthine exchange,hxan_e --> ,,999999.0,{'e'},
PHEt2r,L phenylalanine reversible transport via proton symport,h_e + phe__L_e <=> h_c + phe__L_c,-999999.0,999999.0,"{'e', 'c'}",
ACACt2,Acetoacetate transport via proton symport,acac_e + h_e <=> acac_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
EX_icit_e,Isocitrate exchange,icit_e --> ,,999999.0,{'e'},
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,akg_c + h_c + ichor_c --> 2shchc_c + co2_c + pyr_c,,999999.0,{'c'},BSU30820
26DPAi,Dipicolinate synthase,23dhdp_c + nad_c --> DPA_c + h_c + nadh_c,,999999.0,{'c'},BSU16730 and BSU16740
3AMBAt2,3 aminobutyrate transport in via proton symport,3amba_e + h_e --> 3amba_c + h_c,,999999.0,"{'e', 'c'}",BSU06310
FDH,Formate dehydrogenase,for_c + nad_c --> co2_c + nadh_c,,999999.0,{'c'},(BSU36710 and BSU12160) or (BSU36710 and BSU27220) or (BSU36710 and BSU18570)
FDMO_1,FmnRD dependent monooxygenase  methanesulfonate,fmnRD_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
EX_ile__L_e,L-Isoleucine exchange,ile__L_e --> ,,999999.0,{'e'},
AAMYL_1,Alpha amylase,starch_e --> dextrin_e,,999999.0,{'e'},BSU03040
EX_inost_e,Myo-Inositol exchange,inost_e --> ,,999999.0,{'e'},
EX_ins_e,Inosine exchange,ins_e --> ,,999999.0,{'e'},
EX_istnt_e,Isethionate exchange,istnt_e --> ,,999999.0,{'e'},
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c <=> glu__L_c + sucsal_c,-999999.0,999999.0,{'c'},BSU03900
EX_k_e,K+ exchange,k_e <=> ,-999999.0,999999.0,{'e'},
EX_lac__L_e,L-Lactate exchange,lac__L_e --> ,,999999.0,{'e'},
EX_lanth_e,Lanthionine exchange,lanth_e --> ,,999999.0,{'e'},
FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,-999999.0,999999.0,{'c'},BSU39670 or BSU37120
EX_lcts_e,Lactose exchange,lcts_e --> ,,999999.0,{'e'},
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,f1p_c <=> dhap_c + glyald_c,-999999.0,999999.0,{'c'},BSU37120 or BSU39670
FBP,Fructose-bisphosphatase,fdp_c + h2o_c --> f6p_c + pi_c,,999999.0,{'c'},BSU40190
FCLT_2,Heme B synthesis reaction,fe2_c + ppp9_c --> h_c + pheme_c,,999999.0,{'c'},BSU10130
FDMO1,FMN dependent monooxygenase  ethanesulfonate,eths_c + fmnRD_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
FDMO2_1,FMN dependent monooxygenase  butanesulfonate,buts_c + fmnRD_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
FDMO3_1,FMN dependent monooxygenase  hexanesulfonate,fmnRD_c + hexs_c + o2_c --> fmn_c + h2o_c + h_c + hxal_c + so3_c,,999999.0,{'c'},BSU08860
AB6PGH,Arbutin 6-phosphate glucohydrolase,arbt6p_c + h2o_c --> g6p_c + hqn_c,,999999.0,{'c'},BSU38560 or BSU40110
ABUTD,Aminobutyraldehyde dehydrogenase,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,,999999.0,{'c'},BSU19310 or BSU38830 or BSU39860
MACCOAT,2-Methylacetyl-CoA thiolase,2maacoa_c + coa_c <=> accoa_c + ppcoa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <=> 3ohcoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),accoa_c + hxcoa_c <=> 3oocoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <=> 3odcoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,accoa_c + dccoa_c <=> 3oddcoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,accoa_c + ddcoa_c <=> 3otdcoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,-999999.0,999999.0,{'c'},BSU32830
FDMO4_1,FMN dependent monooxygenase  taurine,fmnRD_c + o2_c + taur_c --> amacald_c + fmn_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
FDMO5_1,FMN dependent monooxygenase  sulfoacetate,fmnRD_c + o2_c + sula_c --> fmn_c + glx_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
FDMO6_1,FMN dependent monooxygenase  isethionate,fmnRD_c + istnt_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c,,999999.0,{'c'},BSU08860
ACACT1r,Acetyl-CoA C-acetyltransferase,2.0 accoa_c <=> aacoa_c + coa_c,-999999.0,999999.0,{'c'},BSU24170
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,,999999.0,{'c'},(BSU29200 and BSU29210) and BSU24350 and BSU24340 and BSU22440
EX_leu__L_e,L-Leucine exchange,leu__L_e --> ,,999999.0,{'e'},
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam_e + pep_c --> acgam6p_c + pyr_c,,999999.0,"{'e', 'c'}",BSU07700 and BSU13900 and BSU13910
ACGK,Acetylglutamate kinase,acglu_c + atp_c --> acg5p_c + adp_c,,999999.0,{'c'},BSU11210
FE2abc,Iron (II) transport via ABC system,atp_c + fe2_e + h2o_c --> adp_c + fe2_c + h_c + pi_c,,999999.0,"{'e', 'c'}",BSU01630 and BSU01620 and BSU01610
EX_lipt_e,Lipoate exchange,lipt_e --> ,,999999.0,{'e'},
ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,,999999.0,{'c'},BSU11200
EX_lys__L_e,L-Lysine exchange,lys__L_e --> ,,999999.0,{'e'},
FOLD3,Dihydropteroate synthase,2ahhmd_c + 4abz_c --> dhpt_c + ppi_c,,999999.0,{'c'},BSU00770
ACMANAt2,N acetyl D mannosamine proton symport,acmana_e + h_e --> acmana_c + h_c,,999999.0,"{'e', 'c'}",
ACNAMt2,N-acetylneuraminate proton symport,acnam_e + h_e --> acnam_c + h_c,,999999.0,"{'e', 'c'}",
EX_madg_e,Alpha Methyl D glucoside exchange,madg_e --> ,,999999.0,{'e'},
ACNPLYS,N-Acetylneuraminate pyruvate-lyase,acmana_c + h2o_c + pep_c <=> acnam_c + pi_c,-999999.0,999999.0,{'c'},
EX_mal__D_e,D-Malate exchange,mal__D_e --> ,,999999.0,{'e'},
ALLTNt2r,Allantoin transport in via proton symport,alltn_e + h_e --> alltn_c + h_c,,999999.0,"{'e', 'c'}",
EX_mal__L_e,L-Malate exchange,mal__L_e --> ,,999999.0,{'e'},
ACt2r,Acetate reversible transport via proton symport,ac_e + h_e <=> ac_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
ADEt2,Adenine transport in via proton symport,ade_e + h_e --> ade_c + h_c,,999999.0,"{'e', 'c'}",
ACKr,Acetate kinase,ac_c + atp_c <=> actp_c + adp_c,-999999.0,999999.0,{'c'},BSU29470
ACLDC,Acetolactate decarboxylase,alac__S_c + h_c --> actn__R_c + co2_c,,999999.0,{'c'},BSU36000
ALLTAHr,Allantoate amidinohydrolase  reversible,alltt_c + h2o_c <=> urdglyc_c + urea_c,-999999.0,999999.0,{'c'},
EX_malt_e,Maltose exchange,malt_e --> ,,999999.0,{'e'},
AMPt6,AMP transport inout via proton symport,amp_e + h_e <=> amp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
ACODA_1,Acetylornithine deacetylase,acorn_c + h2o_c --> ac_c + orn__L_c,,999999.0,{'c'},BSU15350
ACOAD20,Acyl CoA dehydrogenase  2 methylbutnoyl CoA,2.0 2mbcoa_c + o2_c --> 2.0 2mb2coa_c + 2.0 h2o_c,,999999.0,{'c'},BSU18260 or BSU32820 or BSU04520
EX_malttr_e,Maltotriose exchange,malttr_e --> ,,999999.0,{'e'},
EX_man1p_e,D Mannose 1 phosphate exchange,man1p_e --> ,,999999.0,{'e'},
ACONT,Aconitate hydratase,cit_c <=> icit_c,-999999.0,999999.0,{'c'},BSU18000
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),h_c + hx2coa_c + nadh_c <=> hxcoa_c + nad_c,-999999.0,999999.0,{'c'},BSU37170 or BSU24150
EX_man6p_e,D-Mannose 6-phosphate exchange,man6p_e --> ,,999999.0,{'e'},
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),b2coa_c + h_c + nadh_c <=> btcoa_c + nad_c,-999999.0,999999.0,{'c'},BSU32820 or BSU24150 or BSU37170 or BSU18260 or BSU04520
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,,999999.0,{'c'},BSU04520 or BSU18260 or BSU32820
ARABDI,L-fucose isomerase,arab__D_c <=> rbl__D_c,-999999.0,999999.0,{'c'},
ARAB_Dt,D arabinose reversible transport,arab__D_e <=> arab__D_c,-999999.0,999999.0,"{'e', 'c'}",
ACOTA,Acetylornithine transaminase,acorn_c + akg_c <=> acg5sa_c + glu__L_c,-999999.0,999999.0,{'c'},BSU11220
ARGKr,ATPL arginine N phosphotransferase,arg__L_c + atp_c <=> adp_c + argp_c + h_c,-999999.0,999999.0,{'c'},
EX_man_e,D-Mannose exchange,man_e --> ,,999999.0,{'e'},
ARGPt6,L arginine phosphate transport inout via proton symport,argp_e + h_e <=> argp_c + h_c,-999999.0,999999.0,"{'e', 'c'}",
ACPS1,Acyl-carrier protein synthase,apoACP_c + coa_c --> ACP_c + h_c + pap_c,,999999.0,{'c'},BSU04620
EX_3ump_e,3'-UMP exchange,3ump_e --> ,,999999.0,{'e'},
EX_mbdg_e,Beta Methylglucoside exchange,mbdg_e --> ,,999999.0,{'e'},
APATi,Tetrahydrodipicolinate acetyltransferase,accoa_c + h2o_c + thdp_c --> acamoxm_c + coa_c,,999999.0,{'c'},BSU14180
EX_melib_e,Melibiose exchange,melib_e --> ,,999999.0,{'e'},
EX_meoh_e,Methanol exchange,meoh_e --> ,,999999.0,{'e'},
EX_met__D_e,D-Methionine exchange,met__D_e --> ,,999999.0,{'e'},
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,,999999.0,{'c'},BSU23280
APSR,Adenosine 5'-phosphosulfate reductase;,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c,,999999.0,{'c'},BSU15570
ACPpds,[acyl-carrier-protein] phosphodiesterase,ACP_c + h2o_c --> apoACP_c + h_c + pan4p_c,,999999.0,{'c'},BSU19230
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,,999999.0,{'c'},BSU29680
EX_met_L_ala__L_e,Met L ala L exchange,met_L_ala__L_e --> ,,999999.0,{'e'},
ALKP,Alkaline phosphatase,dhap_c + h2o_c <=> dha_c + pi_c,-999999.0,999999.0,{'c'},BSU09410 or BSU05740
APTA1i,Acetyl L L diaminopimelate aminotransferase,acamoxm_c + glu__L_c --> 26dapime_c + akg_c,,999999.0,{'c'},BSU14000
EX_met__L_e,L-Methionine exchange,met__L_e --> ,,999999.0,{'e'},
ALCD19_L,Alcohol dehydrogenase  L glyceraldehyde to glycerol  NADP,Lglyald_c + h_c + nadph_c <=> glyc_c + nadp_c,-999999.0,999999.0,{'c'},BSU09530 or BSU39780
